Question,Answer
Tôi có thẻ phi vật lý mà chưa có thẻ vật lý thì có thẻ rút tiền qua app được không,Thẻ phi vật lý Vietcombank eCard mang lại cho AnhChị nhiều tiện ích và tính năng hấp dẫn Không cần mang theo thẻ vật lý bên mình khách hàng vẫn có thể rút tiền mặt mua sắm và thanh toán Rút tiền mặt bằng mã QR tại các ATM Vietcombank Mua hàng trực tuyến tiện lợi Thanh toán qua các ứng dụng di động Liên kết thẻ với các Ví điện tử Khách hàng có thể tham khảo hướng dẫn rút tiền bằng mã QRtại đây
Tôi có thể rút tiền mặt bằng mã QR tại ATM của Ngân hàng khác không,Dịch vụ rút tiền bằng mã QR trên ATM cho phép khách hàng thực hiện rút tiền mặt tại ATM của Vietcombank thông qua ứng dụng VCB Digibank không thực hiện được rút tiền mặt tại ATM của Ngân hàng khác
Tôi thấy ATM có tính năng rút tiền QR nhưng tôi không thực hiện được tại ATM,Qúy khách vui lòng liên hệ Hotline 247 1900545413 đối với khách hàng thường18001565 đối với KH ưu tiên để được hỗ trợ 
Khách hàng thực hiện rút tiền tại ATM bằng mã QR thẻ sử dụng là thẻ visa ecard đến bước rút tiền báo sai mã pin không thực hiện được giao dịch thẻ không phải là thẻ phát hành trong ngày,Qúy khách vui lòng liên hệ Hotline 247 1900545413 đối với khách hàng thường18001565 đối với KH ưu tiên hoặc CNPGD VCB gần nhất để được hõ trợ
Hạn mức rút tiền tối đa 1 lần tại ATM của VCB dùng thẻ của VCB là bao nhiêu,VCB có quy định hạn mức rút tiền mặt tại máy ATM phụ thuộc vào từng loại thẻ Theo quy định hiện hànhHạn mức rút tiền tối đa 1 lần tại ATM trong hệ thống với i thẻ GNQT Visa Platinum là 10 triệu VNDgiao dịch và ii Các thẻ GNQT khác và thẻ GNNĐ Vietcombank Connect 24 là 5 triệu VNĐgiao dịchHạn mức rút tiền tối đa 1 lần tại ATM ngoài hệ thống phụ thuộc vào quy định của ngân hàng thanh toánChi tiết nội dung hạn mức rút tiển mặt tại ATM được cập nhật theo từng thời kỳ trên website của VCB
Khi giao dịch ngoài giờ hành chính mà bị nuốt thẻ thì tôi phải làm thế nào,Quý khách vui lòng liên hệ Hotline 247 1900545413 đối với khách hàng thường18001565 đối với KH ưu tiên để được hỗ trợ
Tôi thực hiện thanh toán hóa đơn nhưng vẫn không được gạch nợ hóa đơn tôi phải liên hệ với bộ phận nào để được xử lý ,Quý khách vui lòng thực hiện tra soát thông qua các phương thức sauTruy cập ứng dụng Digibank chọn mục Tra soát trực tuyến  Lập yêu cầu tra soát  Chọn hình thức giao dịch từ thẻ ghi nợ hoặc thẻ tín dụngLiên hệ Hotline 247 1900545413 đối với khách hàng thường hoặc 18001565 đối với KH ưu tiên để Tư vấn viên của Vietcombank hỗ trợLiên hệ các điểm giao dịch của Vietcombank trên toàn quốc Quý khách có thể tham khảo thêm thông tin về mạng lưới của Vietcombanktại đây
Tôi nhập đúng mã PIN được cấp nhưng không rút được tiền tôi cần xử lý thế nào,Quý khách vui lòng liên hệ tổng đài 1900545413 đối với khách hàng thường18001565 đối với KH ưu tiên hoặc CNPGD VCB gần nhất để được hỗ trợ
KH muốn chuyển tiền liên ngân hàng qua số tài khoản tại ATM thì làm như thế nào,Quý khách hàng có thể thực hiện giao dịch chuyển tiền tới tài khoản mở tại Vietcombank hoặc tới tài khoản mở ngân hàng khác tại Việt Nam trên hệ thống ATM của Vietcombank bằng cách lựa chọn các loại giao dịch sau trên ATM Chuyển tiền từ tài khoảnchuyển tiền tới tài khoản khác mở tại Vietcombank Chuyển tiền từ thiện chuyển tiền tới tài khoản của một số Quỹ từ thiện Tài khoản của Quỹ từ thiện mở tại Vietcombank Chuyển tiền qua thẻ chuyển tiền tới thẻ của ngân hàng khác tại Việt Nam Các ngân hàng tham gia hệ thống Chuyển tiền nhanh Napas 247
KH muốn dùng thẻ VCB thực hiện giao dịch chuyển tiền liên ngân hàngtrong VCB tại ATM của Ngân hàng khác có làm được không,Quý khách chỉ có thể thực hiện giao dịch chuyển tiền liên ngân hàng từ thẻ ghi nợ do VCB  phát hành sang thẻ NH khác tại ATM VCB
KH dùng thẻ của ngân hàng khác thực hiện chuyển tiền trên ATM của VCB thì làm như thế nào,Quý khách chỉ có thể thực hiện giao dịch chuyển tiền liên ngân hàng từ thẻ ghi nợ do VCB  phát hành sang thẻ NH khác tại ATM VCB 
KH dùng thẻ của NH khác rút tiền tại cây ATM của VCB giao dịch rút tiền không thành công KH thực hiện tra soát giao dịch với NH khác CN trả lời cho KH chưa nhận được điện tra soát của Ngân hàng mà Khách hàng tra soát  Thời hạn hoàn trả tiền lâu và KH,Trong trường hợp KH là chủ thẻ của Ngân hàng khác khiếu nại giao dịch rút tiền tại ATM của VCB Qúy khách vui lòng liên hệ Ngân hàng phát hành để thực hiện tra soát Khi tiếp nhận tra soát từ NHPH VCB sẽ thực hiện trả lời tra soát xử lý hoàn tiền hoặc cung cấp chứng từ cho NHPH trong thời hạn quy định của NHNN 
Khi thực hiện rút tiền mặt bằng thẻ nội địa Ngân hàng khác phát hành trên ATM VCB tôi phải trả các khoản phí nào,Quý khách hàng là chủ thẻ nội địa ngân hàng khác khi rút tiền mặt tại máy ATM VCB không phải trả khoản phí nào cho VCB nếu có phí là do NHPH thu đề nghị quý khách liên hệ với NHPH để làm rõ về khoản phí đã bị trích nợ
KH là chủ thẻ ghi nợ nội địa VCB phát hành KH phải làm gì khi gặp sự cố giao dịch không thành công tại máy ATM nhưng tài khoản thẻ vẫn bị trừ tiền,Trong trường hợp Quý khách là chủ thẻ VCB gặp sự cố tại máy ATM giao dịch không thành công tài khoản thẻ vẫn bị trừ tiền  Qúy khách vui lòng liên hệ qua tổng đài 1900545413 đối với khách hàng thường hoặc 18001565 đối với KH ưu tiên hoặc CNPGD VCB gần nhất hoặc truy cập ứng dụng VCB Digibank để thực hiện tra soát
KH là chủ thẻ ghi nợ quốc tế VCB phát hành KH phải làm gì khi gặp sự cố giao dịch không thành công tại máy ATM nhưng tài khoản thanh toán gắn với thẻ vẫn bị trừ tiền bị khoanh giữ,Trong trường hợp Quý khách là chủ thẻ VCB gặp sự cố tại máy ATM giao dịch không thành công tài khoản thẻ vẫn bị trừ tiền  Qúy khách vui lòng liên hệ qua tổng đài 1900545413 hoặc CNPGD VCB gần nhất để thực hiện tra soát
Khách hàng là chủ thẻ Ngân hàng khác phát hành KH phải làm gì khi gặp sự cố giao dịch không thành công tại máy ATM của VCB nhưng tài khoản thẻ vẫn bị trừ tiền,Trong trường hợp quý khách hàng là chủ thẻ Ngân hàng khác phát hành gặp sự cố tại máy ATM của VCB giao dịch không thành công nhưng tài khoản vẫn bị trừ tiền đề nghị Quý khách liên hệ với NHPH thẻ của mình để làm tra soát
KH là chủ thẻ ghi nợ do VCB phát hành Nếu KH đã chuyển tiền và nhận được tin nhắn trừ tiền của ngân hàng nhưng tài khoản hưởng chưa nhận được tiền tôi cần phải làm gì,Nếu tài khoản hưởng tại ngân hàng khác chưa nhận được tiền Quý khách cần kiểm tra lại biến động số dư tài khoản VCB trên Digibank Nếu tài khoản VCB của Quý khách đã bị trừ tiền Quý khách cần liên hệ với VCB theo các cách dưới đây để được hỗ trợ CNPGD bất kỳ của VCB Trung tâm hỗ trợ khách hàng theo số điện thoại 1900545413 Gửi tra soát thông qua Digibank của VCB
Tôi có thể chuyển tiền theo hình thức nào trên máy ATM,Trường hợp Quý khách là chủ thẻ VCB Quý khách có thể chuyển khoản trên máy ATM theo các hình thức sau Chuyển tiền từ thẻ đến Tài khoản Chuyển khoản nội bộ trong VCB Quý khách có thể thực hiện chuyển khoản đến tài khoản khác của VCB trên máy ATM của VCB và ATM của Ngân hàng khác Chuyển khoản tới tài khoản của Ngân hàng khác Quý khách không thể thực hiện chuyển khoản đến tài khoản Ngân hàng khác trên máy ATM Trường hợp Quý khách muốn thực hiện giao dịch này Quý khách có thể thực hiện trên Digibank của VCB ở trên App hoặc webChuyển tiền từ thẻ tới thẻ Chuyển tiền tới thẻ của Ngân hàng khác Quý khách có thể thực hiện chuyển tiền đến số thẻ của Ngân hàng khác trên máy ATM của VCB
Tôi phai lam gi khi thưc hiên chuyên tiền qua the trên ATM man hinh ATM bao the đich không hơp lê,Qúy khách vui lòng liên hệ Hotline 247 1900545413 đối với khách hàng thường18001565 đối với KH ưu tiên hoặc CNPGD VCB gần nhất để được hõ trợ
Tôi có thể thực hiện giao dịch chuyển tiền liên ngân hàng qua thẻ tại ATM của ngân hàng khác VCB hay không,Quý khách có thể thực hiện giao dịch chuyển tiền liên ngân hàng từ thẻ ghi nợ VCB sang thẻ NH khác tại ATM VCB Quý khách có thể truy cập website httpsportalvietcombankcomvn để tra cứu địa điểm ATM gần nhất 
Tôi có thể sử dụng thẻ tín dụng VCB để thực hiện giao dịch chuyển tiền liên ngân hàng qua thẻ tại ATM VCB hay không,Quý khách không thể thực hiện giao dịch chuyển tiền liên ngân hàng qua thẻ tín dụng Quý khách vui lòng sử dụng thẻ ghi nợ nội địa hoặc thẻ ghi nợ quốc tế để thực hiện giao dịch này 
Tôi bị quên mã PIN thẻ của mình tôi phải làm thế nào để được cấp lại PIN,1 Trường hợp thẻ của khách hàng chưa bị khóaKhách hàng có thể chủ động cấp lại mật khẩu thẻ trên ứng dụng Digibank  Dịch vụ thẻ  Dịch vụ thẻ khác  Tạo mớiĐổi mã PIN và lựa chọn thông tin2 Trường hợp thẻ của khách hàng đã bị khóa do nhập sai mã Pin 3 lần hoặc khách hàng không đăng ký sử dụng ứng dụng DigibankQuý khách vui lòng mang chứng minh thư tới điểm giao dịch VCB gần nhất để được phục vụ
Tôi có thể thực hiện đổi mã PIN cho thẻ tại ATM hay không Tôi có mất phí cho giao dịch đổi PIN không,Quý khách đổi mã số cá nhân PIN đối với các thẻ ghi nợ mà Ngân hàng cung cấp tại ATM ngay sau khi nhận thẻ để kích hoạt thẻ Chú ý Quý khách nên tránh các con số có liên quan đến thông tin cá nhân để tránh lộ thông tin cho kẻ xấu lợi dụngGiao dịch đổi mã PIN hoàn toàn không mất phí 
Tôi phải làm gì khi bị quên mã PIN,Quý khách nên ghi nhớ và bảo mật mã PIN của mình1 Trường hợp Quý khách quên mã Pin Quý khách có thể cấp lại mã PIN trên ứng dụng VCB Digibank theo hướng dẫntại đây2 Trường hợp khách hàng không đăng ký sử dụng ứng dụng Digibank Quý khách vui lòng tới Điểm giao dịch của VCB gần nhất để được trợ giúp
Tôi có thể sử dụng dịch vụ nộp tiền mặt tại máy ATM không,Quý khách có thẻ thực hiện nộp tiền mặt tại các máy RATM theo hướng dẫn sử dụngtại đâyDanh sách địa chỉ điểm đặt RATM1 Tầng 01 số 198 Trần Quang Khải Quận Hoàn Kiếm TP Hà Nội2 Số 11B Cát Linh Đống Đa TP Hà Nội3 Số 01 Thái Hà Đống Đa TP Hà Nội4 11 Láng Hạphường Thành Công quận Ba Đình thành phố Hà Nội5 564 Nguyễn Văn Cừ Phường Gia Thụy Quận Long Biên Thành Phố Hà Nội6 140142 Lê Lợi Quận Hải Châu TP Đà Nẵng7 17 Quang Trung Nha Trang Khánh Hòa8 Chợ đầu mối Bình Điền Đại Lộ Nguyễn Văn Linh Quận 8 TP HCM9 23 Nguyễn Hữu Thọ Q7 HCM10 72 Phạm Ngọc Thạch Q 3 HCM11 50A Đường Đặng Văn Bi PBình Thọ TP Thủ Đức12 13 Kỳ Đồng Q3 TP HCM
Tôi không nộp được tiền tại ATM tôi cần phải làm gì,Hiện nay VCB đang cung cấp loại máy ATM có thẻ thực hiện giao dịch nộp tiền trực tiếp tại máyDanh sách địa chỉ điểm đặt RATM1 Tầng 01 số 198 Trần Quang Khải Quận Hoàn Kiếm TP Hà Nội2 Số 11B Cát Linh Đống Đa TP Hà Nội3 Số 01 Thái Hà Đống Đa TP Hà Nội4 Số 11 Láng Hạphường Thành Công quận Ba Đình thành phố Hà Nội5 Số 564 Nguyễn Văn Cừ Phường Gia Thụy Quận Long Biên Thành Phố Hà Nội6 Số 140142 Lê Lợi Quận Hải Châu TP Đà Nẵng7 Số 17 Quang Trung Nha Trang Khánh Hòa8 Chợ đầu mối Bình Điền Đại Lộ Nguyễn Văn Linh Quận 8 TP HCM9 Số 23 Nguyễn Hữu Thọ Q7 HCM10 Số 72 Phạm Ngọc Thạch Q 3 HCM11 50A Đường Đặng Văn Bi PBình Thọ TP Thủ Đức12 Số 13 Kỳ Đồng Q3 TP HCMTrong trường hợp KH không thực hiện được giao dịch vui lòng đến điểm giao dịch VCB gần nhất để thực hiện GD và được hỗ trợ
Khi mất thẻ tôi phải làm gì Trường hợp tôi vẫn muốn sử dụng thẻ tôi phải làm gì,1 Trong trường hợp Quý khách bị mất thẻ quý khách thực hiện khóa thẻ khẩn cấp theo các cách sau 1 Gửi SMS đến tổng đài 6167 2 VCB Digibank trên ứng dụng mobile 3 VCB Digibank trên trình duyệt web4 Hệ thống khóa thẻ tự động IVR qua tổng đài 1900545413 đối với khách hàng thường hoặc 18001565 đối với KH ưu tiên  5 Điện thoại hotline 247 số 1900545413 đối với khách hàng thường hoặc 18001565 đối với KH ưu tiên 6 Tại các điểm giao dịch Vietcombank Chi tiết các cách khóa thẻtại đây2 Để tiếp tục sử dụng thẻ Quý khách có thể truy cập ứng dụng Digibank chọn chức năng Phát hànhchuyển đổi thẻ tại mục Dịch vụ thẻ để đăng ký phát hành lại thẻ Trường hợp Quý khách sử dụng thẻ tín dụng hoặc không đăng ký sử dụng ứng dụng Digibank vui lòng đến PGDCN VCB để thực hiện phát hành lại thẻ
Khi thực hiện giao dịch tại ATM của VCB tôi thấy ATM có dấu hiệu bị phá hoại mất thiết bị che bàn phím khe đọc thẻ kẹt tôi phải làm gì,Trường hợp Quý khách nhận thấy ATM có dấu hiệu bất thường Quý khách vui lòng ngừng giao dịch và hỗ trợ thông báo ngay cho VCB thông qua tổng đài 1900545413 đối với khách hàng thường hoặc 18001565 đối với KH ưu tiên hoặc CNPGD VCB gần nhất
Khi bị mất thẻ tôi có thể báo khóa thẻ qua VCB thông qua những hình thức nào,Cách 1 Gửi tin nhắn SMS tới tổng đài 6167 theo cú pháp VCB KT TOANBO khóa toàn bộ thẻ tại VCB VCB KT VISA           khóa toàn bộ thẻ tại VCB VCB KT MASTER      khóa toàn bộ thẻ tại VCB VCB KT AMEX          khóa toàn bộ thẻ tại VCB VCB KT JCB              khóa toàn bộ thẻ tại VCB VCB KT UNIONPAY  khóa toàn bộ thẻ tại VCB VCB KT NOIDIA       khóa toàn bộ thẻ tại VCBLưu ý Trường hợp không nhớ cú pháp cụ thể KH soạn tin nhắn theo cú pháp VCB HELP gửi đên tổng đài 6167 để được hướng dẫnCách 2Truy cập ứng dụng VCB Digibank  mục Dịch vụ thẻ Dịch vụ thẻ khác Khóa thẻCách 3 Đăng nhập VCB Digibank trên trình duyệt web mục Dịch vụ thẻ  Dịch vụ thẻ khác Khóa thẻ tạm thờiCách 4 Khách hàng gọi điện đến tổng đàim 1900545413 nhấn phím 1111 và làm theo hướng dẫnCách 5Khách hàng gọi điện đến tổng đài 1900545413  Kết nối với nhân viên trực và yêu cầu khóa thẻCách 6 Khách hàng trực tiếp ra các điểm giao dịch của Vietcombank để yêu cầu khóa thẻ
Thời gian tra soát đối với giao dịch khiếu nại tại ATM là bao lâu,Giao dịch tại hệ thốngThời gian tối đa tiếp nhận khiếu nại từ KH kể từ ngày giao dịchThời gian tối đa phản hồi kết quả tra soát kể từ ngày KH khiếu nại Thẻ ghi nợ nội địaThẻ quốc tếThẻ ghi nợ nội địaThẻ quốc tếATMPOSATMPOSATMPOSATMPOSVietcombank1006071212Ngân hàng khác1006071550 Đơn vị ngày làm việc
Tôi không mang thẻ ATM tôi có thể rút tiền tại ATM của Vietcombank không,Khách hàng có thể thực hiện rút tiền bằng mã QR sau khi sử dụng dịch vụ Digibank mà không cần phải mang theo thẻB1 Khách hàng lựa chọn Rút tiền mặt bằng mã QR trên ATM của VietcombankB2 Đăng nhập ứng dụng VCB Digibank chọn chức năng Rút tiền mặt bằng mã QR tại mục Dịch vụ thẻ  Dịch vụ thẻ khác  Rút tiền mặt bằng mã QRB3 Đưa camera vào vùng chứa mã QR trên màn hình ATM mã QR sẽ được quét tự độngB4 Trên màn hình khách hàng lựa chọn nguồn thẻ để rút tiền nhập số tiền cần rút và ấn Xác nhậnB5 Trên màn hình ATM nhập mã PIN của thẻ ATM đã chọnB6 Hệ thống kiểm tra mã PIN khách hàng đã nhập nếu mã PIN chính xác ATM nhả tiền và hoàn thành giao dich
Tôi là chủ thẻ VCB tôi phải làm gì khi gặp sự cố rút tiền kém chất lượng tiền bị rách mất góc tại máy ATM,KH liên hệ với  CNPGD VCB gần nhất để được đổi lại tiền mới miễn phí
Tôi là chủ thẻ VCB khi thực hiện giao dịch rút tiền do sơ suất tôi đã không nhận đủ số tiền ATM nhả ra tôi có bị mất tiền không Tôi phải làm gì để nhận lại tiền thiếu,KH liên hệ qua tổng đài 1900545413 đối với khách hàng thường hoặc 18001565 đối với KH ưu tiên hoặc qua CNPGD VCB gần nhất hoặc truy cập ứng dụng VCB Digibank để thực hiện tra soát Trường hợp giao dịch thực hiện tại ATM của VCB Vietcombank sẽ tiến hành kiểm tra tình trạng giao dịch và kiểm quỹ ATM Nếu số tiền KH chưa nhận được đã được ATM thu hồi VCB sẽ kiểm tra và hoàn trả tiền cho KH Trường hợp giao dịch thực hiện tại ATM của Ngân hàng khác VCB sẽ thực hiện gửi tra soát tới Ngân hàng quản lý máy ATM cho KH và phản hồi kết quả xử lý cho KH trong thời hạn quy định
Tôi phải làm gì khi gặp sự cố đang rút tiền ATM bị thông báo thẻ không hợp lệ,Trong trường hợp Quý khách là chủ thẻ VCB gặp sự cố rút tiền không thành công tại máy ATM Quý khách vui lòng liên hệ qua tổng đài 1900545413 hoặc CNPGD VCB gần nhất để thực hiện hỗ trợ
Khi tôi đang thực hiện giao dịch rút tiền tại ATM VCB đột ngột bị mất điện tôi phải làm gì để lấy tiền và thẻ của tôi, Trong vòng 30 ngày kể từ ngày thẻ bị thu giữ Khách hàng liên hệ tới SĐT được ghi trên máy ATM hoặc PGDCN có đặt máy ATM giữ thẻ để yêu cầu hỗ trợ trả lại thẻ Sau thời hạn nêu trên nếu khách hàng không liên hệ nhận lại bị thẻ nuốt  VCB sẽ khóa hủy thẻ và phát hành lại thẻ thay thế cho Khách hàng Khách hàng liên hệ VCB để làm thủ tục phát hành lại thẻ  Đối với thẻ tín dụng liên hệ chi nhánh đã phát hành trước đây đối với thẻ ghi nợ liên hệ tại bất kỳ CNPGD nào của VCB để được phục vụ Qúy khách vui lòng liên hệ qua tổng đài 1900545413 hoặc CNPGD VCB gần nhất để thực hiện tra soát
